SiteID,Mechanical_ID,System_Type,Ventilation_Controls
SITE_1411,MECH_114958,Small Capacity Exhaust,Manual thermostat - Digital
SITE_1413,MECH_88924,High Capacity Exhaust,On/off
SITE_1414,MECH_25902,Small Capacity Exhaust,On/off
SITE_1418,MECH_34764,Small Capacity Exhaust,On/off
SITE_142,MECH_35543,High Capacity Exhaust,Timer
SITE_1420,MECH_138213,Small Capacity Exhaust,On/off
SITE_1421,MECH_157162,Recirculating Only,On/off
SITE_1422,MECH_59,Small Capacity Exhaust,On/off
SITE_1423,MECH_35453,Small Capacity Exhaust,On/off
SITE_1424,MECH_40060,High Capacity Exhaust,On/off
SITE_1425,MECH_37662,Recirculating Only,Manual thermostat - Digital
SITE_1426,MECH_128326,Small Capacity Exhaust,On/off
SITE_1427,MECH_147482,Recirculating Only,On/off
SITE_1428,MECH_116972,Small Capacity Exhaust,On/off
SITE_1429,MECH_26818,Small Capacity Exhaust,Manual thermostat - Digital
SITE_143,MECH_82059,High Capacity Exhaust,Timer
SITE_1430,MECH_39240,Small Capacity Exhaust,On/off
SITE_1432,MECH_163567,High Capacity Exhaust,On/off
SITE_1433,MECH_53598,Recirculating Only,On/off
SITE_1435,MECH_77436,High Capacity Exhaust,On/off
SITE_1436,MECH_163592,Small Capacity Exhaust,On/off
SITE_1437,MECH_151804,Small Capacity Exhaust,On/off
SITE_1437,MECH_103380,Small Capacity Exhaust,On/off
SITE_1438,MECH_42849,Small Capacity Exhaust,Manual thermostat - Digital
SITE_1439,MECH_27950,Small Capacity Exhaust,On/off
SITE_144,MECH_96775,Recirculating Only,On/off
SITE_1440,MECH_132780,Recirculating Only,On/off
SITE_1440,MECH_14106,Recirculating Only,On/off
SITE_1441,MECH_53417,High Capacity Exhaust,On/off
SITE_1442,MECH_157231,Recirculating Only,On/off
SITE_1443,MECH_93089,High Capacity Exhaust,On/off
SITE_1445,MECH_160222,Recirculating Only,On/off
SITE_1447,MECH_131227,Recirculating Only,On/off
SITE_1448,MECH_43814,Small Capacity Exhaust,On/off
SITE_1449,MECH_125563,Small Capacity Exhaust,On/off
SITE_145,MECH_5805,Small Capacity Exhaust,On/off
SITE_1451,MECH_101603,Small Capacity Exhaust,Manual thermostat - Analog
SITE_1452,MECH_12266,Small Capacity Exhaust,Timer
SITE_1453,MECH_33387,Small Capacity Exhaust,On/off
SITE_1454,MECH_144537,Recirculating Only,On/off
SITE_1455,MECH_77943,Small Capacity Exhaust,On/off
SITE_1456,MECH_46776,Recirculating Only,On/off
SITE_1458,MECH_152707,Recirculating Only,On/off
SITE_1459,MECH_3106,Recirculating Only,On/off
SITE_1461,MECH_91335,Small Capacity Exhaust,Manual thermostat - Digital
SITE_1462,MECH_23448,Small Capacity Exhaust,On/off
SITE_1463,MECH_163103,Small Capacity Exhaust,On/off
SITE_1464,MECH_7858,Recirculating Only,Manual thermostat - Analog
SITE_1465,MECH_134173,Small Capacity Exhaust,On/off
SITE_1466,MECH_166114,Small Capacity Exhaust,On/off
SITE_1469,MECH_1433,High Capacity Exhaust,On/off
SITE_1471,MECH_6101,Recirculating Only,On/off
SITE_1471,MECH_134174,Recirculating Only,Unknown
SITE_1472,MECH_4735,High Capacity Exhaust,On/off
SITE_1473,MECH_148868,Small Capacity Exhaust,On/off
SITE_1474,MECH_118226,Recirculating Only,On/off
SITE_1475,MECH_113950,Recirculating Only,On/off
SITE_1476,MECH_116001,Small Capacity Exhaust,On/off
SITE_1478,MECH_24556,Small Capacity Exhaust,On/off
SITE_1479,MECH_161197,Small Capacity Exhaust,On/off
SITE_148,MECH_169141,High Capacity Exhaust,On/off
SITE_1480,MECH_148048,Small Capacity Exhaust,Manual thermostat - Analog
SITE_1481,MECH_147479,Small Capacity Exhaust,Manual thermostat - Digital
SITE_1482,MECH_13311,Small Capacity Exhaust,On/off
SITE_1483,MECH_84111,Recirculating Only,On/off
SITE_1483,MECH_49703,Small Capacity Exhaust,On/off
SITE_1484,MECH_12320,Small Capacity Exhaust,On/off
SITE_1485,MECH_63921,Recirculating Only,On/off
SITE_1486,MECH_109196,Recirculating Only,On/off
SITE_1487,MECH_35792,High Capacity Exhaust,On/off
SITE_1488,MECH_28164,Recirculating Only,On/off
SITE_149,MECH_68680,Small Capacity Exhaust,On/off
SITE_1490,MECH_1898,Recirculating Only,On/off
SITE_1491,MECH_33165,Recirculating Only,On/off
SITE_1492,MECH_131672,High Capacity Exhaust,On/off
SITE_1493,MECH_28327,Recirculating Only,On/off
SITE_1494,MECH_62932,Recirculating Only,On/off
SITE_1495,MECH_151728,Small Capacity Exhaust,On/off
SITE_1497,MECH_98522,Recirculating Only,Manual thermostat - Analog
SITE_1499,MECH_112311,Recirculating Only,On/off
SITE_15,MECH_80238,Small Capacity Exhaust,On/off
SITE_1502,MECH_167821,Recirculating Only,On/off
SITE_1503,MECH_351,High Capacity Exhaust,On/off
SITE_1504,MECH_135571,Small Capacity Exhaust,On/off
SITE_1505,MECH_17740,High Capacity Exhaust,On/off
SITE_1506,MECH_30743,Recirculating Only,On/off
SITE_1507,MECH_93343,Small Capacity Exhaust,On/off
SITE_1509,MECH_58143,Small Capacity Exhaust,On/off
SITE_151,MECH_144023,Small Capacity Exhaust,On/off
SITE_1510,MECH_60249,Recirculating Only,On/off
SITE_1511,MECH_74393,Recirculating Only,On/off
SITE_1514,MECH_165539,Recirculating Only,On/off
SITE_1515,MECH_137246,Small Capacity Exhaust,On/off
SITE_1516,MECH_28365,High Capacity Exhaust,On/off
SITE_1518,MECH_44397,Recirculating Only,On/off
SITE_1519,MECH_102229,High Capacity Exhaust,On/off
SITE_152,MECH_88808,Small Capacity Exhaust,On/off
SITE_1520,MECH_45925,High Capacity Exhaust,On/off
SITE_1521,MECH_132468,Recirculating Only,On/off
SITE_1522,MECH_53108,Recirculating Only,On/off
SITE_1525,MECH_59841,Small Capacity Exhaust,On/off
SITE_1526,MECH_50417,Small Capacity Exhaust,On/off
SITE_1527,MECH_1714,Recirculating Only,On/off
SITE_1529,MECH_18183,High Capacity Exhaust,On/off
SITE_153,MECH_84051,High Capacity Exhaust,On/off
SITE_1530,MECH_96795,Small Capacity Exhaust,On/off
SITE_1531,MECH_45944,Recirculating Only,On/off
SITE_1532,MECH_54985,Small Capacity Exhaust,On/off
SITE_1533,MECH_112052,Recirculating Only,On/off
SITE_1534,MECH_93058,Recirculating Only,On/off
