"SiteID","System_Type","Evidence_of_Duct_Sealing","Duct_Sealing_Material","Duct_Sealing_Material_Other","Cavity_Used_for_Air_Transport","Duct_Location_Supply","Duct_Location_Return","Percentage_of_Supply_Ducts_in_Conditioned_Space","Percentage_of_Return_Ducts_in_Conditioned_Space","Percentage_of_Supply_Ducts_in_Unconditioned_and_Inaccessible_Sp","Percentage_Ducts_In_Good_Condition","Crossover_Present","Crossover_Condition","Flex_Run_Insulation_Type","Insulation_Present","Insulation_Type","Insulation_Thickness","Insulation_Condition","Ductboard_P_Thickness"
"SITE_1096","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement, In Walls and Ceilings","50","50","50","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1097","Metal Plenum, Flex Runs","Unknown",NA,NA,"No","Attic","Attic","0","0","Unknown","Unknown","No","Unknown","Unknown","Yes","Fiberglass batts","3","75",NA
"SITE_1099","All Metal","No",NA,NA,"Yes","In Walls and Ceilings","In Walls and Ceilings","100","100","0","Unknown","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_11","90 Flex (spider system)","Yes","Duct or Foil tape",NA,"No","Garage, Crawlspace","Attic","0","0","0","90","No","Unknown","R8","Yes",NA,NA,"90",NA
"SITE_1101","All Metal","No",NA,NA,"No","Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement, In Walls and Ceilings","100","100","0","90","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1102","All Metal","Unknown",NA,NA,"No","Crawlspace / Basement","In Walls and Ceilings, Crawlspace / Basement","0","25","100","90","No","Unknown",NA,"Yes","Fiberglass batts","2","90",NA
"SITE_1104","Metal Plenum, Flex Runs","Yes","Other","Spray foam,  only in one spot","No","Crawlspace / Basement","In Walls and Ceilings","0","0","0","100","No","Unknown","R6","Yes","Foil-faced fiberglass","0","100",NA
"SITE_1105","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement, In Walls and Ceilings","50","50","0","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1106","Metal Plenum, Flex Runs","Yes","Mastic",NA,"Unknown","Crawlspace / Basement","Crawlspace / Basement, In Walls and Ceilings, Attic","0","0","0","90","No","Unknown","Unknown","Yes","Unknown","Unknown","Unknown",NA
"SITE_1107","Metal Plenum, Flex Runs","No",NA,NA,"Yes","Crawlspace / Basement","Crawlspace / Basement","0","90","90","50","No","Unknown","Unknown","Yes","Fiberglass batts","1","90",NA
"SITE_1109","All Metal","Yes","Duct or Foil tape",NA,"Yes","Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings","90","100","0","100","No","Unknown",NA,"Yes","Foam board","2","25",NA
"SITE_111","Metal Plenum, Flex Runs","Yes","Duct or Foil tape",NA,"No","Crawlspace","Attic","0","0","0","100","No","Unknown","Unknown","Yes","Unknown","Unknown","0",NA
