"SiteID","RoomID","ApplianceID","TV_Screen_Type","TV_Screen_Type_Other","Make","Make_Other","Model","Vintage","Energy_Star","Primary","TV_Screen_Surface","TV_Resolution","Size","Size_Is_Estimated","Wattage","Wattage_Is_Estimated","TV_Wifi","TV_Qty_of_Streaming_Devices","TV_Qty_of_External_Media_Devices","STB_Present","DVR_Present","Room_Type"
"SITE_1869","ROOM_21098","APPL_54641","LCD – LED",NA,"Vizio",NA,"Unknown","Unknown","No","Secondary","Flat","High Definition (720p)","42","Measured or Known","Unknown","Unknown","No","Unknown","Unknown","No","No","Bedroom"
"SITE_187","ROOM_40956","APPL_85541","LCD – LED",NA,"LG",NA,"Unknown","Unknown","Unknown","Primary","Flat","FHD (1080p)","40","Estimated","Unknown","Unknown","Unknown","0","1","Yes","No","Living Room"
"SITE_187","ROOM_4499","APPL_105054","LCD – Fluorescent",NA,"Sanyo",NA,"Unknown","Unknown","Unknown","Secondary","Flat","FHD (1080p)","39","Measured or Known","Unknown","Unknown","No","0","1","No","No","Other"
"SITE_1870","ROOM_14523","APPL_15854","LCD – LED",NA,"Samsung",NA,"UN40EH5050FXZA","2012","Yes","Primary","Flat","FHD (1080p)","40","Measured or Known","86","Measured or Known","No","0","1","No","No","Living Room"
"SITE_1870","ROOM_3456","APPL_104866","LCD – LED",NA,"Samsung",NA,"UN40N5200AF","Unknown","Yes","Secondary","Flat","FHD (1080p)","40","Measured or Known","90","Measured or Known","Yes","0","0","Yes","No","Dining Room"
"SITE_1870","ROOM_40517","APPL_71843","LCD – Fluorescent",NA,"Vizio",NA,"VW32L","2007","Yes","Secondary","Flat","High Definition (720p)","32","Measured or Known","180","Measured or Known","Unknown","0","0","No","No","Bedroom"
"SITE_1870","ROOM_34731","APPL_93636","LCD – Fluorescent",NA,"Emerson",NA,"LD260EM2","Unknown","Unknown","Secondary","Flat","High Definition (720p)","26","Measured or Known","135","Measured or Known","No","0","1","No","No","Basement"
"SITE_1871","ROOM_45757","APPL_157662","LCD – LED",NA,"HiSense",NA,"#58RGE3","2020","No","Primary","Flat","FHD (1080p)","58","Measured or Known","140","Measured or Known","Yes","0","0","No","No","Family Room"
"SITE_1872","ROOM_40551","APPL_169490","LCD – LED",NA,"TCL",NA,"Unknown","Unknown","Unknown","Primary","Flat","Unknown","34","Estimated","Unknown","Unknown","No","0","Unknown","Yes","No","Living Room"
"SITE_1872","ROOM_33323","APPL_99340","LCD – LED",NA,"Magnavox",NA,"32ME402V/F7","Unknown","Unknown","Used less","Flat","Standard Definition","32","Measured or Known","Unknown","Unknown","No","Unknown","Unknown","No","No","Bedroom"
"SITE_1872","ROOM_40569","APPL_152164","LCD – LED",NA,"Apex",NA,"LE3245M","Unknown","No","Used less","Flat","Unknown","32","Measured or Known","75","Measured or Known","No","0","0","No","No","Office"
"SITE_1872","ROOM_7953","APPL_31307","LCD – LED",NA,"Samsung",NA,"LN52A580P6FXZA","Unknown","Unknown","Secondary","Flat","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","2","Yes","No","Living Room"
"SITE_1873","ROOM_15779","APPL_85228","LCD – LED",NA,"LG",NA,"50UN7300AUD","Unknown","No","Primary","Flat","UHD (4080p) – 4K","50","Measured or Known","140","Measured or Known","Unknown","0","0","Yes","No","Living Room"
"SITE_1873","ROOM_5716","APPL_170559","LCD – LED",NA,"Phillips",NA,"24PFL3603/F7","Unknown","No","Secondary","Flat","High Definition (720p)","24","Measured or Known","40","Measured or Known","Unknown","0","1","No","No","Bedroom"
"SITE_1873","ROOM_10282","APPL_81082","LCD – LED",NA,"LG",NA,"50UN7300 AUD","2020","No","Used less","Flat","UHD (4080p) – 4K","50","Measured or Known","140","Measured or Known","Yes","0","1","Yes","No","Basement"
"SITE_1874","ROOM_5100","APPL_146301","LCD – LED",NA,"Vizio",NA,"E600I-B3","Unknown","Yes","Primary","Flat","Unknown","60","Measured or Known","300","Measured or Known","No","0","1","No","No","Living Room"
"SITE_1874","ROOM_46818","APPL_92840","LCD – LED",NA,"LG",NA,"32LD350","Unknown","No","Secondary","Flat","Standard Definition","36","Measured or Known","Unknown","Unknown","No","0","0","Yes","No","Bedroom"
"SITE_1874","ROOM_26997","APPL_131641","LCD – LED",NA,"Panasonic",NA,"TC-L24C3","2011","No","Used less","Flat","Standard Definition","28","Measured or Known","76","Measured or Known","No","0","0","Yes","No","Bedroom"
