"SiteID","RoomID","ApplianceID","Make","Make_Other","Model","Vintage","Serial","WiFi_Capable","Motor_Power","Motor_Power_Units","Disposal_Missing_Model_Reason","Disposal_Missing_Model_Reason_Other"
"SITE_1250","ROOM_26952","APPL_59584","InSinkErator",NA,"#5-81","Unknown","#05061600161","No","0.5","HP",NA,NA
"SITE_1252","ROOM_19836","APPL_80001","InSinkErator",NA,"#5-81A","Unknown","#06112008296","No","0.5","HP",NA,NA
"SITE_1253","ROOM_10801","APPL_49200","Other","Evergrind","#E101","Unknown","Unknown","No","0.33","HP",NA,NA
"SITE_1254","ROOM_27298","APPL_173018","Other","Evergrind","#E101","Unknown","Unknown","No","0.33","HP",NA,NA
"SITE_1255","ROOM_9292","APPL_158731","InSinkErator",NA,"BADGER 100-1","Unknown","#14121561375","No","0.33","HP",NA,NA
"SITE_1259","ROOM_28986","APPL_118070","InSinkErator",NA,"COMPACT P-1","Unknown","#14041802360","No","0.75","HP",NA,NA
"SITE_1260","ROOM_45543","APPL_45580","InSinkErator",NA,"#1-87","Unknown","#16081270682","No","0.33","HP",NA,NA
"SITE_1262","ROOM_4260","APPL_7040","InSinkErator",NA,"SELECT-1","Unknown","#13121718428","No","0.625","HP",NA,NA
"SITE_1263","ROOM_43097","APPL_48097","InSinkErator",NA,"CONTRACTOR 333","Unknown","Unknown","No","0.75","HP",NA,NA
"SITE_1265","ROOM_38040","APPL_92060","InSinkErator",NA,"FWD-HD-1","Unknown","#13101748278","No","0.33","HP",NA,NA
"SITE_1270","ROOM_36378","APPL_121634","InSinkErator",NA,"PRO 750-3","Unknown","#20093030453","No","0.75","HP",NA,NA
"SITE_1271","ROOM_8749","APPL_3832","InSinkErator",NA,"BADGER 500","Unknown","Unknown","No","0.5","HP",NA,NA
"SITE_1272","ROOM_46741","APPL_133733","InSinkErator",NA,"BADGER 5","Unknown","Unknown","No","0.5","HP",NA,NA
"SITE_1274","ROOM_10401","APPL_109928","Waste King",NA,"Unknown","Unknown","Unknown","No","Unknown",NA,"Unknown",NA
"SITE_1278","ROOM_43993","APPL_59070","Other","Ace Hardware","#4000","Unknown","Unknown","No","0.625","HP",NA,NA
"SITE_1279","ROOM_42447","APPL_76028","InSinkErator",NA,"#5-84A","Unknown","#12071864992","No","0.5","HP",NA,NA
"SITE_1283","ROOM_23903","APPL_151892","InSinkErator",NA,"PRO EXCEL","Unknown","#07081576995","No","1","HP",NA,NA
"SITE_1284","ROOM_26736","APPL_55455","Whirlpool",NA,"GC4000X0","Unknown","FNG3863884","No","0.5","HP",NA,NA
"SITE_1285","ROOM_41201","APPL_81323","Waste King",NA,"#1001","Unknown","1D5-17280-59","No","0.5","HP",NA,NA
"SITE_1287","ROOM_3213","APPL_40362","InSinkErator",NA,"BADGER 100","Unknown","Unknown","No","0.33","HP",NA,NA
"SITE_1289","ROOM_42049","APPL_74788","KitchenAid",NA,"KCDC250X1","Unknown","FNJ0316595","No","0.625","HP",NA,NA
"SITE_129","ROOM_29381","APPL_32672","KitchenAid",NA,"KCDB250G4","Unknown","FN71201992","No","1","HP",NA,NA
"SITE_1290","ROOM_2888","APPL_158653","Other","Evergrind","E202-2A","Unknown","#19071104893","No","0.5","HP",NA,NA
"SITE_1291","ROOM_37176","APPL_42517","InSinkErator",NA,"CONTRACTOR 333-1","Unknown","#15111303994","No","0.75","HP",NA,NA
"SITE_1293","ROOM_22938","APPL_46280","InSinkErator",NA,"PROSS-4","Unknown","TA 66965730","No","0.75","HP",NA,NA
"SITE_1295","ROOM_5691","APPL_67407","InSinkErator",NA,"ESSENTIAL-1","Unknown","#10081579110","No","0.75","HP",NA,NA
"SITE_13","ROOM_2918","APPL_111270","InSinkErator",NA,"BADGER 500-1","Unknown","#16071425574","No","0.5","HP",NA,NA
