"SiteID","Interior_or_Exterior","Door_Type","Door_Construction","Door_Mechanism","Door_Window_Type","Door_Window_Type_Other","Door_Height_Inches","Door_Width_Inches","Door_Dimensions_Are_Estimated","Door_Area","Door_U_Value","Door_UA"
"SITE_3224","Interior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3224","Exterior","Metal","Single","Slider","> 80% window (glass French door)",NA,"74","58","Measured or Known","4292","1.22666666666666","36.5614814814813"
"SITE_3225","Exterior","Vinyl","Single","Slider","> 80% window (glass French door)",NA,"77","69","Measured or Known","5313","0.853","31.4721458333333"
"SITE_3225","Interior","Fiberglass","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.853333333333333","17.0666666666667"
"SITE_3226","Exterior","Wood Solid Core","Single","Hinge","Half window",NA,"80","30","Measured or Known","2400","0.4","6.66666666666667"
"SITE_3226","Exterior","Wood Solid Core","Single","Hinge","Decorative window (arch, etc.)",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3227","Interior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3227","Exterior","Unknown","Single","Hinge","> 80% window (glass French door)",NA,"80","36","Measured or Known","2880","Unknown","Unknown"
"SITE_3228","Exterior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3229","Interior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3229","Exterior","Vinyl","Single","Slider","> 80% window (glass French door)",NA,"77","94","Measured or Known","7238","0.853","42.8750972222222"
"SITE_3230","Interior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3231","Exterior","Metal","Single","Slider","> 80% window (glass French door)",NA,"78","69","Measured or Known","5382","1.22666666666666","45.8466666666664"
"SITE_3231","Exterior","Fiberglass","Single","Hinge","None",NA,"80","35","Measured or Known","2800","0.853333333333333","16.5925925925926"
"SITE_3232","Exterior","Wood Solid Core","Single","Hinge","Decorative window (arch, etc.)",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3233","Interior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
