"SiteID","Quantity","Type","Skylight_Area_Inches","Skylight_Area_Inches_is_Estimated","Frame_Type","Glazing_Type","Opening_Type","Skylight_Direction","Shape","Shape_Other","Skylight_Height_Inches","Skylight_Width_Inches","Shade_Present","Shade_Reflective","Shade_Insulated","Area","U-Value","Skylight_UA"
"SITE_25","1","Fixed","1152","Imputed","Wood - bare","Double","Unknown","West","Rectangle / Square",NA,"48","24","No",NA,NA,"1152","0.38","3.04"
"SITE_256","1","Fixed","1152","Measured or Known","Wood - bare","Double","Unknown","East","Rectangle / Square",NA,"48","24","No",NA,NA,"1152","0.38","3.04"
"SITE_256","1","Fixed","78","Unknown","Vinyl","Single","Unknown","Unknown","Circle",NA,"Unknown","Unknown","No",NA,NA,"78","0.81","0.44"
"SITE_268","1","Open","1012","Measured or Known","Wood - bare","Double","Manual","East","Rectangle / Square",NA,"46","22","No",NA,NA,"1012","0.38","2.67"
"SITE_268","1","Fixed","660","Measured or Known","Wood - bare","Double","Unknown","North","Rectangle / Square",NA,"30","22","No",NA,NA,"660","0.38","1.74"
"SITE_268","1","Open","1012","Measured or Known","Wood - bare","Double","Manual","South","Rectangle / Square",NA,"46","22","No",NA,NA,"1012","0.38","2.67"
"SITE_272","3","Fixed","1440","Estimated","Vinyl","Unknown","Unknown","North","Rectangle / Square",NA,"60","24","No",NA,NA,"1440","Unknown","Unknown"
"SITE_274","2","Fixed","1440","Measured or Known","Wood aluminum clad","Double","Unknown","North","Rectangle / Square",NA,"60","24","No",NA,NA,"1440","0.7","14"
"SITE_274","1","Fixed","2116","Measured or Known","Wood aluminum clad","Double","Unknown","North","Rectangle / Square",NA,"46","46","No",NA,NA,"2116","0.7","10.29"
"SITE_279","1","Open","1200","Estimated","Wood - bare","Unknown","Manual","East","Rectangle / Square",NA,"40","30","No",NA,NA,"1200","Unknown","Unknown"
"SITE_279","1","Open","1296","Estimated","Unknown","Unknown","Manual","East","Rectangle / Square",NA,"54","24","No",NA,NA,"1296","Unknown","Unknown"
"SITE_279","1","Open","864","Estimated","Vinyl","Double","Manual","North","Rectangle / Square",NA,"48","18","No",NA,NA,"864","0.38","2.28"
"SITE_28","1","Fixed","400","Measured or Known","Aluminum","Double","Unknown","North","Rectangle / Square",NA,"20","20","No",NA,NA,"400","0.7","1.94"
"SITE_281","1","Fixed","1056","Estimated","Vinyl","Double","Unknown","SE","Rectangle / Square",NA,"48","22","No",NA,NA,"1056","0.38","2.79"
"SITE_281","1","Fixed","880","Measured or Known","Vinyl","Double","Unknown","NW","Rectangle / Square",NA,"44","20","No",NA,NA,"880","0.38","2.32"
"SITE_281","1","Fixed","484","Estimated","Vinyl","Double","Unknown","NW","Rectangle / Square",NA,"22","22","No",NA,NA,"484","0.38","1.28"
"SITE_282","1","Open","1484","Measured or Known","Wood - bare","Unknown","Manual","South","Rectangle / Square",NA,"53","28","Yes","No","No","1484","Unknown","Unknown"
"SITE_283","2","Fixed","704","Measured or Known","Wood - bare","Double","Unknown","South","Rectangle / Square",NA,"32","22","No",NA,NA,"704","0.38","3.72"
"SITE_283","1","Open","810","Measured or Known","Wood - bare","Double","Manual","North","Rectangle / Square",NA,"45","18","No",NA,NA,"810","0.38","2.14"
"SITE_284","1","Fixed","1984","Measured or Known","Vinyl","Double","Unknown","West","Rectangle / Square",NA,"62","32","No",NA,NA,"1984","0.38","5.24"
