HHID,NWEIGHT,QMAIL,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,DOLLARKR,DOLLAREL,DOLLARNG,DOLLARFO,DOLLARLP,DOLELSPH,DOLNGSPH,DOLFOSPH,DOLLPSPH,DOLKRSPH,DOLELWTH,DOLNGWTH,DOLFOWTH,DOLLPWTH,DOLKRWTH,DOLELAPL,DOLNGAPL,DOLFOAPL,DOLLPAPL,DOLKRAPL,DOLELCOL,DOLNGCOL,DOLELRFG,DOLELFZZ,DOLELCOK,DOLELDWH,DOLELCDR,DOLELLGT
4273, 42623,9,3,5,4,3429,  219,5,   0,1238,   0,   0,   0,  33,   0,   0,   0,   0,190,  0,  0,   0,  0, 597,  0, 0,  0,0, 326,  0,  92,  0, 24, 47, 56,   38
4274,  6649,9,4,8,0,3242, 1326,2,   0, 192, 128,   0,   0,   0,  71,   0,   0,   0,  0, 44,  0,   0,  0,  65, 13, 0,  0,0,  86,  0,  41,  0,  0,  0,  0,   33
4275,  8742,9,1,1,0, 879, 5621,5,   0, 379, 542,   0,   0,   0, 322,   0,   0,   0,  0,220,  0,   0,  0, 287,  0, 0,  0,0,   0,  0,  92,  0, 40,  0,  0,   92
4276,  4229,9,3,6,0,1168, 4824,2,   0,1602,   0,   0,   0, 403,   0,   0,   0,   0,332,  0,  0,   0,  0, 605,  0, 0,  0,0, 163,  0,  99, 83, 26,  0,139,   41
4277,  5009,9,1,2,0, 815, 5877,3,   0, 634,   0,   0,   0, 272,   0,   0,   0,   0, 42,  0,  0,   0,  0, 226,  0, 0,  0,0,  58,  0,  36,  0,  9,  6, 30,   19
4278,  3731,9,3,5,0,1611, 3411,2,   0, 732,   0,   0, 628,   0,   0,   0, 449,   0,  0,  0,  0, 179,  0, 373,  0, 0,  0,0, 246,  0, 113,  0, 22,  0, 62,   57
4279, 13670,9,1,2,1,1600, 4537,5,   0, 391, 217, 282,   0,   0,   0, 126,   0,   0,  0,  0,156,   0,  0, 269,217, 0,  0,0,   0,  0, 122,  0,  0,  0,  0,   47
4280, 13568,9,1,2,1, 669, 6948,2,   0, 832,   0,2061,   0,   0,   0,1681,   0,   0,  0,  0,380,   0,  0, 720,  0, 0,  0,0,   0,  0, 112, 86, 82,  0, 70,   88
4281, 11667,9,3,6,0,1540, 3415,2,   0,1634,   0,   0,   0, 415,   0,   0,   0,   0,303,  0,  0,   0,  0, 501,  0, 0,  0,0, 242,  0, 173,  0, 27, 52, 83,  104
4282,  7847,9,3,6,0,2087, 2972,2,   0, 387, 355,   0,   0,   0, 355,   0,   0,   0,132,  0,  0,   0,  0,  96,  0, 0,  0,0,  71,  0,  88,  0, 20,  0,  0,   19
4283, 23952,9,2,3,0, 532, 7249,1,   0, 352, 332,   0,   0,   0, 301,   0,   0,   0,155,  0,  0,   0,  0, 163, 31, 0,  0,0,   0,  0,  34,  0,  0,  0,  0,   27
4284, 18069,9,4,9,0,  66, 5274,2,   0, 789, 380,   0,   0,  36, 247,   0,   0,   0,  0,116,  0,   0,  0, 692, 17, 0,  0,0,   0,  0,  61, 71, 40, 32,  0,  156
4285, 24340,9,3,5,0,1669, 3367,2,   0, 392, 372,   0,   0,  22, 372,   0,   0,   0, 50,  0,  0,   0,  0, 258,  0, 0,  0,0,   0,  0,  62, 83, 12,  0, 40,   34
4286, 26662,9,1,2,1,1254, 4777,4,   0, 422, 418,   0,   0,   0, 246,   0,   0,   0,  0,138,  0,   0,  0, 238, 34, 0,  0,0,   0,  0, 184,  0,  0,  0,  0,   85
4287, 11187,9,1,1,0, 531, 6109,2,   0, 440,   0, 478, 263,   0,   0, 478,   0,   0,  0,  0,  0, 200,  0, 216,  0, 0, 63,0,   0,  0, 224,  0,  0,  0, 56,   39
4288, 28081,9,1,2,0,1376, 4680,3,   0, 824, 303, 256,   0,   0,   0, 256,   0,   0,  0,234,  0,   0,  0, 541, 69, 0,  0,0,   0,  0, 283,175,  0,  0,  0,   60
4289, 16146,9,3,7,3,1716, 4415,2,   0, 301, 303,   0,   0,   0, 196,   0,   0,   0,  0, 85,  0,   0,  0, 209, 22, 0,  0,0,   0,  0,  92,  0,  0,  0, 58,   25
