vintage_era,month,total_therms,equipment_count,avg_therms,year
1980-1999,7,980.3311774182444,53715,0.018250603693907557,2032
1980-1999,8,37370.41806374158,53715,0.6957166166572015,2032
1980-1999,9,212392.23962701135,53715,3.9540582635578767,2032
1980-1999,10,1441415.323793808,53715,26.834502909686456,2032
1980-1999,11,2927411.042988728,53715,54.49894895259663,2032
1980-1999,12,3680672.44207754,53715,68.52224596625784,2032
2000-2009,1,5516477.591606956,73137,75.42663209602466,2032
2000-2009,2,4047308.594335731,73137,55.33872860981078,2032
2000-2009,3,3461166.158467601,73137,47.3244207236775,2032
2000-2009,4,2427716.3962977068,73137,33.19409322637935,2032
2000-2009,5,1547889.671062827,73137,21.164248889930228,2032
2000-2009,6,399391.3873955832,73137,5.460866420492818,2032
2000-2009,7,1190.8254505636387,73137,0.016282120548609304,2032
2000-2009,8,45418.05110967475,73137,0.620999646002362,2032
2000-2009,9,258187.46625505204,73137,3.530189456158334,2032
2000-2009,10,1751513.8586529843,73137,23.948396278942045,2032
2000-2009,11,3557096.247064808,73137,48.636069938127186,2032
2000-2009,12,4472418.908722029,73137,61.15124914505694,2032
2010-2014,1,1524543.6482614132,22504,67.74545184240193,2032
2010-2014,2,1118331.6602910967,22504,49.69479471609921,2032
2010-2014,3,956334.7564425442,22504,42.49621207085603,2032
2010-2014,4,670704.9317239901,22504,29.803809621577948,2032
2010-2014,5,427851.30023155874,22504,19.012233391021983,2032
2010-2014,6,110375.87427400374,22504,4.904722461518118,2032
2010-2014,7,329.1503429455594,22504,0.014626303899109464,2032
2010-2014,8,12547.412709451615,22504,0.557563664657466,2032
2010-2014,9,71315.49773133954,22504,3.169014296629023,2032
2010-2014,10,484093.71384876576,22504,21.5114519129384,2032
2010-2014,11,982979.6274383891,22504,43.68021806960492,2032
2010-2014,12,1236085.720473703,22504,54.92737826491748,2032
2015+,1,1123948.6512762231,20822,53.97889978274052,2032
2015+,2,824574.7541861192,20822,39.601131216315395,2032
2015+,3,705164.0546893924,20822,33.86629789114362,2032
2015+,4,494469.9012420317,20822,23.747473885411186,2032
2015+,5,315393.027759168,20822,15.147105357754683,2032
2015+,6,81376.3888012412,20822,3.9081927192988766,2032
2015+,7,242.6158074323398,20822,0.01165189738893189,2032
2015+,8,9250.032043846377,20822,0.4442432064089125,2032
2015+,9,52588.03551561422,20822,2.5255996309487188,2032
2015+,10,356847.2445732577,20822,17.137990806515113,2032
2015+,11,724673.058147257,20822,34.80323975349423,2032
2015+,12,911212.291961843,20822,43.76199654028638,2032
pre-1980,1,7032733.393088054,76424,92.02257658704143,2032
