"PK_Envelope_ID","CK_SiteID","Ceiling Type","Ceiling Area","Ceiling Area_notes","Ceiling Accessible","Ceiling Insulated","Ceiling Insulation Type 1","Ceiling Insulation Thickness 1","Ceiling Insulation Thickness 1_notes","Ceiling Insulation Condition 1","Ceiling Insulation Condition 1_notes","Ceiling Insulation Type 2","Ceiling Insulation Thickness 2","Ceiling Insulation Thickness 2_notes","Ceiling Insulation Condition 2","Ceiling Insulation Condition 2_notes","Ceiling Insulation Type 3","Ceiling Insulation Thickness 3","Ceiling Insulation Thickness 3_notes","Ceiling Insulation Condition 3","Ceiling Insulation Condition 3_notes","Type of Area Above Ceiling","Ceiling Insulation U-Value","Ceiling Insulation U-Value_notes","Ceiling Insulation R-Value","Ceiling Insulation R-Value_notes","Ceiling U-Value for Heat Loss","Ceiling U-Value for Heat Loss_notes","Ceiling Heat Loss Rate (UA)","Ceiling Heat Loss Rate (UA)_notes","Ceiling Notes"
"Envelope_00008745","SITE_01318","Sloped / Vaulted (no attic)",752.8000,,"Unknown","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",,"Unknown",,"Unknown",0.0760,,57.2000,,"N/A"
"Envelope_00008746","SITE_01318","Attic",664.5000,,"Yes","Yes","Blown fiberglass",10.0000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",0.0354,,28.2500,,0.0350,,23.5200,,"N/A"
"Envelope_00008706","SITE_01319","Attic",1894.0000,,"No","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",,"Unknown",,"Unknown",0.1010,,191.9300,,"N/A"
"Envelope_00008782","SITE_01320","Sloped / Vaulted (no attic)",1548.0000,,"No","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",,"Unknown",,"Unknown",0.0760,,117.6200,,"N/A"
"Envelope_00008697","SITE_01321","Attic",1833.0000,,"Yes","Yes","Blown fiberglass",10.0000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",0.0354,,28.2500,,0.0350,,64.8800,,"They just built house, info from homeowner"
"Envelope_00008735","SITE_01322","Attic",1916.5000,,"No","Yes","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",,"Unknown",,"Unknown",0.1010,,194.2100,,"Only access was sealed and in closet full of clothes"
"Envelope_00008663","SITE_01323","Sloped / Vaulted (no attic)",578.3000,,"Unknown","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",,"Unknown",,"Unknown",0.0760,,43.9400,,"N/A"
"Envelope_00008664","SITE_01323","Attic",45.5000,,"Unknown","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",,"Unknown",,"Unknown",0.1010,,4.6100,,"N/A"
"Envelope_00008665","SITE_01323","Sloped / Vaulted (no attic)",728.0000,,"Yes","Yes","Foam Board (Unknown)",3.0000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",0.1111,,9.0000,,0.1110,,80.8900,,"N/A"
"Envelope_00008768","SITE_01324","Attic",1320.0000,,"Yes","Yes","Blown mineral wool",7.5000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",0.0462,,21.6250,,0.0460,,61.0400,,"N/A"
"Envelope_00008756","SITE_01325","Attic",576.0000,,"Yes","Yes","Open-cell spray foam",2.0000,,1.0000,,"Fiberglass batts",5.5000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",0.0389,,25.7050,,0.0390,,22.4100,,"Owner reports fiberglass batts in attic"
"Envelope_00008757","SITE_01325","Sloped / Vaulted (no attic)",590.0000,,"No","Yes","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",,"Unknown",,"Unknown",0.0760,,44.8300,,"N/A"
